dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,split
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,1,4.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,2,4.33,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,3,2.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,4,1.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,5,1.1,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,1,3.83,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,2,2.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,3,1.53,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,4,1.23,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,5,1.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,1,4.73,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,2,3.97,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,3,2.7,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,4,2.03,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,5,1.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,1,4.73,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,2,2.17,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,3,1.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,4,1.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,5,1.47,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,1,4.0,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,2,2.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,3,1.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,4,1.33,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,5,1.6,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,1,4.23,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,2,4.4,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,3,3.9,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,4,2.9,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,5,2.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,1,2.73,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,2,2.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,3,2.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,4,2.47,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,5,2.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,1,4.7,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,2,3.77,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,3,2.73,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,4,1.97,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,5,1.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,1,4.6,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,2,4.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,3,4.4,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,4,2.9,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,5,1.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,1,4.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,2,3.93,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,3,3.77,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,4,1.58,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,5,1.17,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,1,4.03,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,2,3.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,3,2.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,4,2.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,5,2.37,train
