dataset,ref_id,split
KADID-10k,I01,train
KADID-10k,I02,train
KADID-10k,I03,train
KADID-10k,I04,holdout
KADID-10k,I05,holdout
KADID-10k,I06,train
KADID-10k,I07,train
KADID-10k,I08,train
KADID-10k,I09,train
KADID-10k,I10,train
KADID-10k,I11,train
KADID-10k,I12,holdout
KADID-10k,I13,train
KADID-10k,I14,holdout
KADID-10k,I15,holdout
KADID-10k,I16,train
KADID-10k,I17,train
KADID-10k,I18,holdout
KADID-10k,I19,train
KADID-10k,I20,train
KADID-10k,I21,train
KADID-10k,I22,train
KADID-10k,I23,train
KADID-10k,I24,train
KADID-10k,I25,train
KADID-10k,I26,val
KADID-10k,I27,val
KADID-10k,I28,val
KADID-10k,I29,holdout
KADID-10k,I30,val
KADID-10k,I31,train
KADID-10k,I32,holdout
KADID-10k,I33,train
KADID-10k,I34,train
KADID-10k,I35,val
KADID-10k,I36,holdout
KADID-10k,I37,train
KADID-10k,I38,train
KADID-10k,I39,train
KADID-10k,I40,train
KADID-10k,I41,train
KADID-10k,I42,val
KADID-10k,I43,train
KADID-10k,I44,train
KADID-10k,I45,val
KADID-10k,I46,val
KADID-10k,I47,train
KADID-10k,I48,train
KADID-10k,I49,train
KADID-10k,I50,train
KADID-10k,I51,train
KADID-10k,I52,train
KADID-10k,I53,train
KADID-10k,I54,train
KADID-10k,I55,holdout
KADID-10k,I56,train
KADID-10k,I57,train
KADID-10k,I58,train
KADID-10k,I59,train
KADID-10k,I60,train
KADID-10k,I61,train
KADID-10k,I62,train
KADID-10k,I63,train
KADID-10k,I64,train
KADID-10k,I65,val
KADID-10k,I66,train
KADID-10k,I67,train
KADID-10k,I68,train
KADID-10k,I69,train
KADID-10k,I70,holdout
KADID-10k,I71,train
KADID-10k,I72,train
KADID-10k,I73,holdout
KADID-10k,I74,val
KADID-10k,I75,train
KADID-10k,I76,train
KADID-10k,I77,val
KADID-10k,I78,train
KADID-10k,I79,train
KADID-10k,I80,holdout
KADID-10k,I81,val
