dataset,image_id,filename,path,split
KONIQ-10k,10004473376,10004473376.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10004473376.jpg,train
KONIQ-10k,10007357496,10007357496.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10007357496.jpg,train
KONIQ-10k,10007903636,10007903636.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10007903636.jpg,train
KONIQ-10k,10009096245,10009096245.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10009096245.jpg,train
KONIQ-10k,100117038,100117038.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/100117038.jpg,train
KONIQ-10k,10012398043,10012398043.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10012398043.jpg,train
KONIQ-10k,10013822223,10013822223.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10013822223.jpg,holdout
KONIQ-10k,10014002683,10014002683.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10014002683.jpg,train
KONIQ-10k,10017119924,10017119924.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10017119924.jpg,train
KONIQ-10k,10020766793,10020766793.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10020766793.jpg,holdout
KONIQ-10k,10020891105,10020891105.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10020891105.jpg,train
KONIQ-10k,10022757465,10022757465.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10022757465.jpg,train
KONIQ-10k,10022844623,10022844623.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10022844623.jpg,train
KONIQ-10k,10027545463,10027545463.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10027545463.jpg,train
KONIQ-10k,10027582235,10027582235.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10027582235.jpg,train
KONIQ-10k,10029841663,10029841663.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10029841663.jpg,train
KONIQ-10k,10031298826,10031298826.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10031298826.jpg,train
KONIQ-10k,10031913154,10031913154.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10031913154.jpg,train
KONIQ-10k,10039534103,10039534103.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10039534103.jpg,holdout
KONIQ-10k,10041870415,10041870415.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10041870415.jpg,train
KONIQ-10k,10043785683,10043785683.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10043785683.jpg,train
KONIQ-10k,10047832035,10047832035.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10047832035.jpg,train
KONIQ-10k,10048365153,10048365153.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10048365153.jpg,train
KONIQ-10k,10050349236,10050349236.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10050349236.jpg,train
KONIQ-10k,10058760545,10058760545.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10058760545.jpg,train
KONIQ-10k,10059344614,10059344614.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10059344614.jpg,val
KONIQ-10k,10061596254,10061596254.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10061596254.jpg,train
KONIQ-10k,10067457634,10067457634.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10067457634.jpg,holdout
KONIQ-10k,10068507976,10068507976.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10068507976.jpg,val
KONIQ-10k,10068778516,10068778516.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10068778516.jpg,train
KONIQ-10k,10069534975,10069534975.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10069534975.jpg,train
KONIQ-10k,10071864114,10071864114.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10071864114.jpg,train
KONIQ-10k,10075168775,10075168775.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10075168775.jpg,train
KONIQ-10k,10077468576,10077468576.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10077468576.jpg,train
KONIQ-10k,10077880165,10077880165.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10077880165.jpg,train
KONIQ-10k,10079711433,10079711433.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10079711433.jpg,holdout
KONIQ-10k,10082923485,10082923485.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10082923485.jpg,val
KONIQ-10k,10086300493,10086300493.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10086300493.jpg,train
KONIQ-10k,100882570,100882570.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/100882570.jpg,train
KONIQ-10k,10089027076,10089027076.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10089027076.jpg,train
KONIQ-10k,10089177336,10089177336.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10089177336.jpg,train
KONIQ-10k,10091520555,10091520555.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10091520555.jpg,train
KONIQ-10k,10093057603,10093057603.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10093057603.jpg,holdout
KONIQ-10k,10094235786,10094235786.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10094235786.jpg,holdout
KONIQ-10k,10110458216,10110458216.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10110458216.jpg,train
KONIQ-10k,10111411235,10111411235.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10111411235.jpg,train
KONIQ-10k,10113730664,10113730664.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10113730664.jpg,holdout
KONIQ-10k,10115071674,10115071674.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10115071674.jpg,train
KONIQ-10k,10118773964,10118773964.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10118773964.jpg,train
KONIQ-10k,10121813934,10121813934.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10121813934.jpg,val
KONIQ-10k,10125013364,10125013364.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10125013364.jpg,train
KONIQ-10k,10126177964,10126177964.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10126177964.jpg,train
KONIQ-10k,10126857344,10126857344.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10126857344.jpg,val
KONIQ-10k,10130566006,10130566006.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10130566006.jpg,holdout
KONIQ-10k,10131980434,10131980434.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10131980434.jpg,val
KONIQ-10k,10133867305,10133867305.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10133867305.jpg,val
KONIQ-10k,10134737015,10134737015.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10134737015.jpg,train
KONIQ-10k,10140071304,10140071304.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10140071304.jpg,train
KONIQ-10k,1014369849,1014369849.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1014369849.jpg,holdout
KONIQ-10k,10147970884,10147970884.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10147970884.jpg,train
KONIQ-10k,101484668,101484668.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/101484668.jpg,train
KONIQ-10k,10153847086,10153847086.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10153847086.jpg,train
KONIQ-10k,10154367094,10154367094.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10154367094.jpg,train
