dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,mos_std,distortion_code,distorted_filename,split
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/I01_01_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_01,1,5.51429,0.13013,01,I01_01_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_01_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_01,2,5.56757,0.16008,01,i01_01_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_01_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_01,3,4.94444,0.15186,01,i01_01_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_01_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_01,4,4.37838,0.1104599999999999,01,i01_01_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_01_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_01,5,3.86486,0.1022899999999999,01,i01_01_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_02_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_02,1,6.028569999999999,0.16896,02,i01_02_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_02_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_02,2,6.10811,0.17001,02,i01_02_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_02_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_02,3,5.38889,0.16795,02,i01_02_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_02_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_02,4,4.71429,0.1035799999999999,02,i01_02_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_02_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_02,5,4.36111,0.13695,02,i01_02_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_03_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_03,1,4.7714300000000005,0.12832,03,i01_03_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_03_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_03,2,4.27027,0.13594,03,i01_03_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_03_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_03,3,3.7027,0.10719,03,i01_03_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_03_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_03,4,3.19444,0.09477,03,i01_03_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_03_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_03,5,2.71429,0.09537,03,i01_03_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_04_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_04,1,5.971430000000001,0.13694,04,i01_04_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_04_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_04,2,5.75676,0.15946,04,i01_04_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_04_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_04,3,5.27027,0.17368,04,i01_04_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_04_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_04,4,5.24324,0.16398,04,i01_04_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_04_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_04,5,4.71429,0.13138,04,i01_04_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_05_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_05,1,5.91892,0.15934,05,i01_05_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_05_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_05,2,5.7027,0.1703599999999999,05,i01_05_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_05_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_05,3,5.08333,0.13249,05,i01_05_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_05_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_05,4,4.13889,0.09744,05,i01_05_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_05_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_05,5,3.13889,0.09744,05,i01_05_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_06_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_06,1,4.0,0.11467,06,i01_06_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_06_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_06,2,3.89189,0.16566,06,i01_06_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_06_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_06,3,3.72973,0.1057099999999999,06,i01_06_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_06_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_06,4,3.48571,0.08448,06,i01_06_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_06_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_06,5,2.94444,0.11072,06,i01_06_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_07_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_07,1,5.08333,0.15404,07,i01_07_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_07_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_07,2,4.75,0.13249,07,i01_07_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_07_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_07,3,4.0,0.1111099999999999,07,i01_07_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_07_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_07,4,3.22222,0.11188,07,i01_07_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_07_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_07,5,2.19444,0.1166599999999999,07,i01_07_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_08_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_08,1,5.18919,0.13151,08,i01_08_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_08_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_08,2,4.47222,0.13314,08,i01_08_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_08_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_08,3,3.4864900000000003,0.1185599999999999,08,i01_08_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_08_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_08,4,3.0,0.09035,08,i01_08_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_08_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_08,5,2.11111,0.1095599999999999,08,i01_08_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_09_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_09,1,6.08333,0.18162,09,i01_09_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_09_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_09,2,5.16667,0.15466,09,i01_09_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_09_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_09,3,4.42857,0.1231299999999999,09,i01_09_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_09_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_09,4,2.81081,0.10701,09,i01_09_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_09_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_09,5,1.54054,0.11205,09,i01_09_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_10_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_10,1,5.97297,0.15519,10,i01_10_1.bmp,holdout
