epoch,l_total,l_pix,l_vgg,l_kl,l_rank,psnr,ssim,sz_auroc,grad_norm_pix,grad_norm_vgg,grad_norm_kl,w_vgg,beta_kl_eff
1,0.8666983695959541,0.1414987863181822,5.211380039001131,0.1678103123154632,0.0,,,,1.541579922338045,2.961710733226086,0.6249127383479468,0.1,0.4072
2,1.1704042542489885,0.07530224697630547,4.840213540142286,0.19036566187564977,0.0,,,,2.5105531582826845,4.2399496088384385,16.342645146776718,0.1,0.8146
3,1.4923679567050512,0.06904839788585038,4.652132846177297,0.12862412731730594,0.0,,,,0.3333436195298994,3.98051300575792,1.9778674621989674,0.1,1.0
4,1.5050710697178753,0.06124878513170008,4.436164699586279,0.13370015774293453,0.0,,,,1.214424278661684,3.2480428075446164,3.7466706252808653,0.1,1.0
5,1.4783277765582108,0.05427529611457898,4.240360204647965,0.1352765290839273,0.0,22.425545273273965,0.568032239680758,nan,1.9190479730103795,9.055785345434787,10.78939472062988,0.1,1.0
6,1.4541827124828326,0.05066846883144809,4.0339111952320525,0.15584023677591724,0.0,,,,0.7388251245841014,4.659613167961729,0.30856509361609685,0.1,1.0
7,1.4372709264460297,0.04877508444200413,3.8832367212092342,0.15756821642992364,0.0,,,,0.5382862787017461,3.7625806874002508,0.8210909390653641,0.1,1.0
8,1.4189502480103797,0.046523736810853915,3.7238950282554737,0.16098852647092626,0.0,,,,0.6639557982915457,8.853429815522105,1.1047943580323858,0.1,1.0
9,1.4035519540573256,0.04465266172012893,3.588992865956409,0.09549565104311392,0.0,,,,0.8049929455644176,8.786746645544607,4.032660579679065,0.1,1.0
10,1.3912510444676696,0.04370448013212556,3.47423796567135,0.19031693751635245,0.0,24.17811595866481,0.6637872135133032,nan,2.249377122922801,9.913077143580281,0.5318287787204442,0.1,1.0
11,1.380030803078814,0.04253721310792305,3.374935847553015,0.12250075836939793,0.0,,,,1.01457032498773,7.8120764810047305,5.915546813549927,0.1,1.0
12,1.3727260932772547,0.04201475118922877,3.3065905083203115,0.08983221556305535,0.0,,,,0.9696210564006585,10.611616865053113,0.7823599702102009,0.1,1.0
13,1.3650013042772056,0.04148271483280931,3.235063051937489,0.16257740884551125,0.0,,,,0.7908986964328875,8.465886189919535,0.7786188384601169,0.1,1.0
14,1.3566949588151087,0.0407601629196866,3.15934793136842,0.08434806954322285,0.0,,,,1.6238161037295953,6.3890854291163865,1.5486988696138446,0.1,1.0
