epoch,lambda_rank,margin,L_total,L_pix,L_vgg,L_KL,L_rank,time_sec
1,0.1,0.1,1.3899760415596245,0.04700372152079919,3.0553807332979894,0.21424593569595465,0.3742882673736287,673.501606464386
2,0.1,0.1,1.3612848769247003,0.04652606885286823,2.890961545336563,0.19661228524570443,0.25662649925567665,641.7406916618347
3,0.1,0.1,1.346492273406645,0.04623692179824003,2.7939805334120726,0.24066295415426778,0.20857292598360405,638.0968902111053
4,0.1,0.1,1.3348913740267796,0.04610490032545893,2.720428099357976,0.16529544755091183,0.16730719656070836,637.938136100769
5,0.1,0.1,1.3242859325050254,0.04573817113661661,2.6497816400717844,0.15952028388206937,0.13569592490534202,637.7751698493958
6,0.1,0.1,1.3166481614112855,0.04563905563271415,2.597014026198767,0.2126337977472396,0.113076989914156,637.6409363746643
7,0.1,0.1,1.3105963515496888,0.04530156518340902,2.5515616331480246,0.29664763823745,0.09774129495079448,637.4649891853333
8,0.1,0.1,1.3069844666308006,0.0456584348969689,2.5181732217822455,0.26740084622813537,0.09424394493376177,637.4135615825653
9,0.1,0.1,1.2991910397478965,0.0449343751555523,2.466324209850446,0.19976308716345678,0.07613166787907523,637.4912250041962
10,0.1,0.1,1.2974252035132552,0.044792252238345355,2.441718350232175,0.27669484545435524,0.08342790168971495,637.2322270870209
11,0.1,0.1,1.2895279762491716,0.044379922566292564,2.395471665869772,0.2782318114080524,0.05511670642681516,637.023185968399
12,0.1,0.1,1.2882905559202211,0.044341562758405915,2.3694380159926625,0.3455747540694027,0.06972358000681171,636.7725501060486
13,0.1,0.1,1.2825337659468694,0.04403224047685487,2.325400746659895,0.20521943808689846,0.05948745638124062,636.7813355922699
14,0.1,0.1,1.2803595491215192,0.0438756990831642,2.3061307875983483,0.22984038172042476,0.058450040387084005,637.1315104961395
15,0.1,0.1,1.278009156579465,0.0438003593412912,2.2835414052537057,0.23373279016036375,0.05803439054571247,637.5669934749603
16,0.1,0.1,1.2721423264625853,0.04340936129962185,2.247275783372136,0.2511269810354024,0.04005381546884993,638.0743598937988
17,0.1,0.1,1.2734322172878063,0.04329037317610552,2.2330149797211707,0.24875084349671298,0.06613224194259579,638.0790364742279
18,0.1,0.1,1.2667521214063189,0.043197077629774545,2.197356794471234,0.18178987614810466,0.03819360734753222,638.1976897716522
19,0.1,0.1,1.2640692792635049,0.04284618352086539,2.1710961672584568,0.21428401617217907,0.0409984533418067,638.1861264705658
20,0.1,0.1,1.263345332272285,0.042889214774379424,2.1620936570441827,0.1739509710267318,0.04246748365772237,638.3267753124237
21,0.1,0.1,1.260501202334345,0.04253670189579108,2.1360346177510454,0.20519387814982804,0.043610379940715226,638.0106739997864
22,0.1,0.1,1.2576684623165468,0.042447049341337605,2.1133411251865657,0.24995667067381133,0.03816766838469259,638.0590538978577
23,0.1,0.1,1.2537930089815528,0.042176599978609425,2.0872571196703786,0.2147172470898491,0.0289069439471386,638.0135402679443
24,0.1,0.1,1.2536058317771,0.04210917456075549,2.0762627111599508,0.2699319077771058,0.03678119109320672,638.1076407432556
25,0.1,0.1,1.2508776071324812,0.04196446368108149,2.055303858550249,0.27195028521087583,0.033600652249945816,638.115392446518
