ref_id,distortion_type,path_mild,path_severe,sev_mild,sev_severe,abs_dEH,dataset,image_id_mild,image_id_severe
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_02.png,1.0,2.0,0.38818359375,KADID-10k,I01_16_01,I01_16_02
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_03.png,1.0,3.0,1.51953125,KADID-10k,I01_16_01,I01_16_03
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_04.png,1.0,4.0,7.060791015625,KADID-10k,I01_16_01,I01_16_04
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_05.png,1.0,5.0,15.35400390625,KADID-10k,I01_16_01,I01_16_05
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_03.png,2.0,3.0,1.13134765625,KADID-10k,I01_16_02,I01_16_03
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_04.png,2.0,4.0,6.672607421875,KADID-10k,I01_16_02,I01_16_04
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_05.png,2.0,5.0,14.9658203125,KADID-10k,I01_16_02,I01_16_05
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_04.png,3.0,4.0,5.541259765625,KADID-10k,I01_16_03,I01_16_04
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_05.png,3.0,5.0,13.83447265625,KADID-10k,I01_16_03,I01_16_05
I01,Brighten,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_16_05.png,4.0,5.0,8.293212890625,KADID-10k,I01_16_04,I01_16_05
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_02.png,1.0,2.0,1.18603515625,KADID-10k,I01_23_01,I01_23_02
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_03.png,1.0,3.0,1.00146484375,KADID-10k,I01_23_01,I01_23_03
