arm,metric,N,SRCC,SRCC_p,Pearson,Pearson_p
Unranked E_H (Day-8),E_H vs MOS,1625,-0.34469331055533586,1.5131354103707485e-46,-0.35719796837499906,4.331463682975832e-50
Unranked E_H (Day-8),Blur E_H--sev,65,0.6204175744196291,3.541171758221534e-08,0.6490201273880635,4.9950827074957925e-09
Unranked E_H (Day-8),Sharpen E_H--sev,65,0.5172135732555861,1.0266165581797302e-05,0.5230147684968173,7.831731281362413e-06
Unranked E_H (Day-8),Pixelate E_H--sev,65,-0.056823291862732384,0.652999966359569,-0.05957116598449097,0.6373707222882731
Pristine+rank lambda_0.1,E_H vs MOS,1625,-0.4690886647593396,1.0947787547406703e-89,-0.4789891358101282,5.797503627867074e-94
Pristine+rank lambda_0.1,Blur E_H--sev,65,0.8488704008881653,4.228774115884059e-19,0.857526920938366,7.567720742352619e-20
Pristine+rank lambda_0.1,Sharpen E_H--sev,65,0.5688127481361271,7.67402649834976e-07,0.5325796682296726,4.957411616980057e-06
Pristine+rank lambda_0.1,Pixelate E_H--sev,65,0.37225054465177737,0.0022619006336192325,0.3705633762218615,0.0023769599250392545
Pristine+rank lambda_1.0,E_H vs MOS,1625,-0.41324764333659453,4.813335617356883e-68,-0.4239407427755891,7.014360652632961e-72
Pristine+rank lambda_1.0,Blur E_H--sev,65,0.6163587678580053,4.602424557256877e-08,0.5891538136211137,2.433050363375424e-07
Pristine+rank lambda_1.0,Sharpen E_H--sev,65,0.6702829121767206,1.0134064300875398e-09,0.663805207274623,1.6700727371261812e-09
Pristine+rank lambda_1.0,Pixelate E_H--sev,65,0.4093596332151945,0.0007091731015702986,0.4239168346086486,0.0004333138718406007
