dataset,image_id,ref_id,distortion_type,severity_or_level,distorted_path,group
KADID-10k,I26_16_03,I26,Brighten,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_03.png,other
KADID-10k,I26_16_04,I26,Brighten,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_04.png,other
KADID-10k,I26_23_01,I26,Color block,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_01.png,other
KADID-10k,I26_23_02,I26,Color block,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_02.png,other
KADID-10k,I26_23_03,I26,Color block,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_23_03.png,other
KADID-10k,I26_04_01,I26,Color diffusion,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_01.png,other
KADID-10k,I26_04_03,I26,Color diffusion,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_03.png,other
KADID-10k,I26_06_01,I26,Color quantization,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_01.png,other
KADID-10k,I26_06_04,I26,Color quantization,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_04.png,other
KADID-10k,I26_07_04,I26,Color saturation 1,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_04.png,other
KADID-10k,I26_07_05,I26,Color saturation 1,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_05.png,other
KADID-10k,I26_08_01,I26,Color saturation 2,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_01.png,other
KADID-10k,I26_08_03,I26,Color saturation 2,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_03.png,other
KADID-10k,I26_08_05,I26,Color saturation 2,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_05.png,other
KADID-10k,I26_05_01,I26,Color shift,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_01.png,other
KADID-10k,I26_05_02,I26,Color shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_02.png,other
KADID-10k,I26_05_03,I26,Color shift,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_03.png,other
KADID-10k,I26_25_05,I26,Contrast change,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_25_05.png,other
KADID-10k,I26_17_02,I26,Darken,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_02.png,other
KADID-10k,I26_17_04,I26,Darken,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_04.png,other
KADID-10k,I26_17_05,I26,Darken,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_05.png,other
KADID-10k,I26_15_04,I26,Denoise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_04.png,noise
KADID-10k,I26_15_05,I26,Denoise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_05.png,noise
KADID-10k,I26_01_02,I26,Gaussian blur,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_02.png,blur
KADID-10k,I26_01_05,I26,Gaussian blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_05.png,blur
