dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,distortion_code,distorted_id,distorted_filename,ref_filename,dmos_variance
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,1,4.57,01,I01_01_01,I01_01_01.png,I01.png,0.496
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,2,4.33,01,I01_01_02,I01_01_02.png,I01.png,0.869
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,3,2.67,01,I01_01_03,I01_01_03.png,I01.png,0.789
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,4,1.67,01,I01_01_04,I01_01_04.png,I01.png,0.596
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,5,1.1,01,I01_01_05,I01_01_05.png,I01.png,0.3
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,1,3.83,02,I01_02_01,I01_02_01.png,I01.png,0.86
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,2,2.27,02,I01_02_02,I01_02_02.png,I01.png,0.772
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,3,1.53,02,I01_02_03,I01_02_03.png,I01.png,0.67
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,4,1.23,02,I01_02_04,I01_02_04.png,I01.png,0.418
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,5,1.2,02,I01_02_05,I01_02_05.png,I01.png,0.4
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,1,4.73,03,I01_03_01,I01_03_01.png,I01.png,0.442
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,2,3.97,03,I01_03_02,I01_03_02.png,I01.png,0.657
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,3,2.7,03,I01_03_03,I01_03_03.png,I01.png,0.936
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,4,2.03,03,I01_03_04,I01_03_04.png,I01.png,0.795
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,5,1.5,03,I01_03_05,I01_03_05.png,I01.png,0.5
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,1,4.73,04,I01_04_01,I01_04_01.png,I01.png,0.512
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,2,2.17,04,I01_04_02,I01_04_02.png,I01.png,1.035
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,3,1.37,04,I01_04_03,I01_04_03.png,I01.png,0.547
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,4,1.5,04,I01_04_04,I01_04_04.png,I01.png,0.619
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,5,1.47,04,I01_04_05,I01_04_05.png,I01.png,0.806
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,1,4.0,05,I01_05_01,I01_05_01.png,I01.png,0.856
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,2,2.2,05,I01_05_02,I01_05_02.png,I01.png,0.909
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,3,1.57,05,I01_05_03,I01_05_03.png,I01.png,0.559
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,4,1.33,05,I01_05_04,I01_05_04.png,I01.png,0.537
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,5,1.6,05,I01_05_05,I01_05_05.png,I01.png,0.611
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,1,4.23,06,I01_06_01,I01_06_01.png,I01.png,0.761
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,2,4.4,06,I01_06_02,I01_06_02.png,I01.png,0.554
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,3,3.9,06,I01_06_03,I01_06_03.png,I01.png,0.943
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,4,2.9,06,I01_06_04,I01_06_04.png,I01.png,0.831
