dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,D_WACV,PSNR,SSIM,NIQE,LPIPS
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,1,4.57,2799.4638671875,inf,1.0,2.73810367803899,0.0
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,2,4.33,2798.578125,36.466112384673714,0.9889680544535319,2.9252539748478235,0.021413277834653854
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,3,2.67,2798.15576171875,27.424479687077707,0.903619110584259,5.769025516170332,0.2167208045721054
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,4,1.67,2801.074462890625,23.223354043723994,0.7461091876029968,7.8180986649037605,0.4253147542476654
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,5,1.1,2808.823974609375,18.27908536751889,0.5351800322532654,13.034924039803535,0.7064594030380249
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,1,3.83,2798.1181640625,31.302258731557583,0.9616991281509399,3.7042066820253057,0.0867377370595932
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,2,2.27,2798.3720703125,26.059349742825788,0.8660131295522054,5.982345477549961,0.2705574333667755
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,3,1.53,2802.185791015625,22.138387927703207,0.6781618595123291,8.67449703508671,0.43740761280059814
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,4,1.23,2805.6259765625,19.857298210136616,0.5670327345530192,11.338951708176396,0.553520917892456
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,5,1.2,2807.504638671875,18.154895048243482,0.5077261527379354,11.33962937912875,0.63467937707901
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,1,4.73,2799.4638671875,inf,1.0,2.73810367803899,0.0
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,2,3.97,2798.332275390625,31.647403636947207,0.9680128296216329,5.139714535456675,0.08251027762889862
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,3,2.7,2798.386474609375,26.510044660660583,0.8863801757494608,6.547399217406065,0.21185556054115295
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,4,2.03,2799.3994140625,24.197764670265748,0.8047821720441183,6.825944412190665,0.2501302659511566
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,5,1.5,2803.370849609375,21.36196798436128,0.652910312016805,8.215196792718459,0.3419307470321655
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,1,4.73,2799.12353515625,33.75896572638735,0.9703772862752279,2.6966557066775603,0.04547297954559326
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,2,2.17,2803.49658203125,12.452157666665144,0.6790399452050527,2.9309164061337167,0.22557438910007477
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,3,1.37,2810.671875,9.819290932173404,0.527649192760388,3.025474457744815,0.3776836693286896
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,4,1.5,2813.181396484375,9.150673490826392,0.47845992011328536,3.2664602274051746,0.44244056940078735
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,5,1.47,2819.64892578125,8.070306532734705,0.41441812831908464,3.39966443538295,0.5261595249176025
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,1,4.0,2800.111083984375,27.85183766755996,0.9644688963890076,3.3034004424257257,0.09054316580295563
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,2,2.2,2801.96337890625,24.157408648269318,0.9300632079442342,4.769875523298429,0.1899198293685913
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,3,1.57,2800.9033203125,23.033105097148876,0.9205559492111206,3.114379303678741,0.23774291574954987
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,4,1.33,2800.478759765625,22.830982654308237,0.9231563409169515,3.0600266201481383,0.24085095524787903
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,5,1.6,2800.799560546875,23.011043530016423,0.9237029353777567,3.3794514613617714,0.2599829435348511
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,1,4.23,2801.766357421875,28.779421347928928,0.8682728012402853,6.380908153447036,0.05070539563894272
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,2,4.4,2803.79931640625,28.41908038598353,0.8312097589174906,7.561234194536842,0.06666279584169388
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,3,3.9,2805.156005859375,27.064973827478628,0.7739078799883524,10.631838725729166,0.10802580416202545
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,4,2.9,2806.22314453125,19.68214381774286,0.6719109614690145,13.762572083606567,0.176505908370018
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,5,2.27,2810.839599609375,16.358653648832483,0.48799872398376465,30.757433889130315,0.31508392095565796
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,1,2.73,2802.102294921875,19.448076755730984,0.9281122088432312,2.9211515707455233,0.081827312707901
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,2,2.5,2805.73046875,16.949565529417857,0.8976635336875916,3.036788110481601,0.1520114541053772
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,3,2.27,2809.901123046875,15.9223492342145,0.8819893995920817,2.9950637385915213,0.19698281586170197
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,4,2.47,2815.866455078125,15.011602293917864,0.866416335105896,3.00860406681594,0.23879963159561157
