method,case,rank,image_id,image_folder,sr_copy,hr_copy,lr_copy,D_WACV,LR_content,D_WACV_z,LR_content_z,low_lrcontent_high_wacv_score,low_wacv_high_lrcontent_score
SwinSR,low_lrcontent_high_wacv,1,sony_189,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/01_sony_189,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/01_sony_189/sony_189_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/01_sony_189/sony_189_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/01_sony_189/sony_189_LR.png,2835.353759765625,0.0157947484403848,2.754675414663951,-1.25166889225901,4.006344306922961,-4.006344306922961
SwinSR,low_lrcontent_high_wacv,2,DSC_1265,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/02_DSC_1265,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/02_DSC_1265/DSC_1265_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/02_DSC_1265/DSC_1265_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/02_DSC_1265/DSC_1265_LR.png,2830.852783203125,0.0202674102038145,2.2298949982593257,-0.9737510861654671,3.203646084424793,-3.203646084424793
SwinSR,low_lrcontent_high_wacv,3,DSC_0988,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/03_DSC_0988,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/03_DSC_0988/DSC_0988_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/03_DSC_0988/DSC_0988_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/03_DSC_0988/DSC_0988_LR.png,2832.90283203125,0.0253356508910655,2.468915455872129,-0.6588257895396992,3.127741245411828,-3.127741245411828
SwinSR,low_lrcontent_high_wacv,4,sony_160,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/04_sony_160,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/04_sony_160/sony_160_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/04_sony_160/sony_160_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/04_sony_160/sony_160_LR.png,2824.070068359375,0.0161478668451309,1.4390808558990904,-1.2297271721985523,2.6688080280976427,-2.6688080280976427
SwinSR,low_lrcontent_high_wacv,5,DSC_1245,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/05_DSC_1245,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/05_DSC_1245/DSC_1245_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/05_DSC_1245/DSC_1245_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_lrcontent_high_wacv/05_DSC_1245/DSC_1245_LR.png,2822.76318359375,0.0167872663587331,1.2867078048568925,-1.189996801462595,2.4767046063194877,-2.4767046063194877
SwinSR,low_wacv_high_lrcontent,1,IMG_113,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/01_IMG_113,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/01_IMG_113/IMG_113_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/01_IMG_113/IMG_113_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/01_IMG_113/IMG_113_LR.png,2799.91064453125,0.097651831805706,-1.3777284121716677,3.8346851012657868,-5.212413513437454,5.212413513437454
SwinSR,low_wacv_high_lrcontent,2,IMG_150,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/02_IMG_150,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/02_IMG_150/IMG_150_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/02_IMG_150/IMG_150_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/02_IMG_150/IMG_150_LR.png,2801.759521484375,0.0881256833672523,-1.162163100095717,3.2427587686771244,-4.404921868772842,4.404921868772842
SwinSR,low_wacv_high_lrcontent,3,IMG_118,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/03_IMG_118,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/03_IMG_118/IMG_118_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/03_IMG_118/IMG_118_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/03_IMG_118/IMG_118_LR.png,2800.542236328125,0.0758548825979232,-1.3040895025796324,2.4802879606435977,-3.78437746322323,3.78437746322323
SwinSR,low_wacv_high_lrcontent,4,panasonic_182,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/04_panasonic_182,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/04_panasonic_182/panasonic_182_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/04_panasonic_182/panasonic_182_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/04_panasonic_182/panasonic_182_LR.png,2799.160400390625,0.0715180337429046,-1.4652013032332545,2.2108091619110435,-3.676010465144298,3.676010465144298
SwinSR,low_wacv_high_lrcontent,5,panasonic_187,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/05_panasonic_187,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/05_panasonic_187/panasonic_187_SwinSR_SR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/05_panasonic_187/panasonic_187_HR.png,/home/projectwork/student_package/day2_tasks/lrcontent_wacv_contradiction_images/SwinSR/low_wacv_high_lrcontent/05_panasonic_187/panasonic_187_LR.png,2794.253662109375,0.0583535283803939,-2.0372905204658514,1.3928062271552193,-3.4300967476210706,3.4300967476210706
