SR output outliers: min/max per metric
Input HAT CSV: /home/projectwork/student_package/day2_tasks/task_e_metric_correspondence/task_e_hat_metrics.csv
Input SwinSR CSV: /home/projectwork/student_package/day2_tasks/task_e_metric_correspondence/task_e_swinsr_metrics.csv
Output folder: /home/projectwork/student_package/day2_tasks/sr_output_outliers

method,metric,extreme,image_id,metric_value
HAT,D_WACV,minimum,DSC_1326,2788.475830078125
HAT,D_WACV,maximum,sony_189,2835.4716796875
HAT,NIQE,minimum,panasonic_43,3.5499947984870377
HAT,NIQE,maximum,panasonic_187,53.90941222065564
HAT,LR_content,minimum,Canon_56,0.011278053745627403
HAT,LR_content,maximum,DSC_1404,0.07722193747758865
HAT,PSNR,minimum,panasonic_187,14.655363234639472
HAT,PSNR,maximum,Canon_56,40.810684735991
HAT,SSIM,minimum,panasonic_43,0.4362025260925293
HAT,SSIM,maximum,P1160566,0.9880563815434774
HAT,LPIPS,minimum,sony_189,0.03399094566702843
HAT,LPIPS,maximum,panasonic_103,0.5430818200111389
HAT,DISTS,minimum,sony_158,0.11860531568527222
HAT,DISTS,maximum,P1140189,0.3777567744255066
SwinSR,D_WACV,minimum,DSC_1326,2793.277099609375
SwinSR,D_WACV,maximum,sony_189,2835.353759765625
SwinSR,NIQE,minimum,panasonic_43,3.393277192074285
SwinSR,NIQE,maximum,panasonic_187,38.77078735055938
SwinSR,LR_content,minimum,sony_11,0.013881710357964039
SwinSR,LR_content,maximum,IMG_113,0.09765183180570602
SwinSR,PSNR,minimum,panasonic_187,13.56235041595796
SwinSR,PSNR,maximum,sony_160,44.000260978586994
SwinSR,SSIM,minimum,sony_129,0.3303769926230113
SwinSR,SSIM,maximum,P1160566,0.9861760338147482
SwinSR,LPIPS,minimum,sony_189,0.04124434292316437
SwinSR,LPIPS,maximum,panasonic_182,0.5548703074455261
SwinSR,DISTS,minimum,IMG_143,0.13703006505966187
SwinSR,DISTS,maximum,P1140189,0.38596057891845703
