crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
crop_01,1883,2661,512,512,4.7133738199869795,2.0,101,35.025787353515625
crop_02,2109,2849,512,512,5.077487945556641,2.0,118,37.80517578125
crop_03,3958,2397,512,512,5.810849507649739,2.0,109,37.4542236328125
crop_04,2420,1047,512,512,3.697900136311849,3.0,139,37.74871826171875
crop_05,2869,2078,512,512,5.025051116943359,2.0,118,33.6822509765625
crop_06,261,419,512,512,2.315293629964193,2.0,8,8.518218994140625
crop_07,344,1593,512,512,3.851729075113932,3.0,86,30.1055908203125
crop_08,3927,1207,512,512,3.9421424865722656,3.0,103,35.173797607421875
crop_09,2244,2213,512,512,5.077737172444661,2.0,119,31.990814208984375
crop_10,967,258,512,512,2.4015719095865884,2.0,8,9.714508056640625
