crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
crop_01,1883,2661,512,512,4.8805389404296875,2.0,98,41.57447814941406
crop_02,2109,2849,512,512,5.186527252197266,3.0,105,45.83168029785156
crop_03,3958,2397,512,512,5.166628519694011,2.0,101,37.78076171875
crop_04,2420,1047,512,512,1.7760124206542969,1.0,81,2.634429931640625
crop_05,2869,2078,512,512,4.483712514241536,2.0,88,32.086944580078125
crop_06,261,419,512,512,0.8877232869466146,1.0,6,0.1556396484375
crop_07,344,1593,512,512,2.2330195109049478,1.0,66,10.70709228515625
crop_08,3927,1207,512,512,1.64794921875,1.0,60,5.419921875
crop_09,2244,2213,512,512,4.8094635009765625,2.0,104,32.7789306640625
crop_10,967,258,512,512,0.8837153116861979,1.0,7,0.131988525390625
