model,crop_id,x,y,width,height,mean_absolute_difference,median_absolute_difference,max_absolute_difference,percentage_pixels_changed
swinsr,crop_01,2677,319,512,512,9.609825134277344,3.0,135,40.323638916015625
swinsr,crop_02,3931,2330,512,512,13.952754974365234,3.0,127,47.12486267089844
swinsr,crop_03,5131,1390,512,512,12.531576792399088,2.0,129,35.87913513183594
swinsr,crop_04,1537,2549,512,512,2.2445042928059897,1.0,65,10.518646240234375
swinsr,crop_05,859,1206,512,512,14.041033426920572,4.0,142,51.66053771972656
swinsr,crop_06,2907,3119,512,512,1.6962140401204426,1.0,18,10.976409912109375
swinsr,crop_07,4894,1808,512,512,17.76715850830078,6.0,124,57.6171875
swinsr,crop_08,466,2266,512,512,2.1141382853190103,1.0,67,4.0447235107421875
swinsr,crop_09,3454,1776,512,512,19.33761723836263,7.0,129,60.137176513671875
swinsr,crop_10,1033,351,512,512,2.826920827229818,2.0,99,19.959259033203125
hat,crop_01,2677,319,512,512,8.505940755208334,3.0,118,45.08247375488281
hat,crop_02,3931,2330,512,512,13.657731374104818,4.0,123,58.4747314453125
hat,crop_03,5131,1390,512,512,12.449061075846354,3.0,113,48.44551086425781
hat,crop_04,1537,2549,512,512,2.5798263549804688,2.0,55,21.440887451171875
hat,crop_05,859,1206,512,512,12.165565490722656,3.0,127,48.48442077636719
hat,crop_06,2907,3119,512,512,2.0810254414876304,2.0,11,13.969039916992188
hat,crop_07,4894,1808,512,512,16.78668975830078,7.0,117,67.78488159179688
hat,crop_08,466,2266,512,512,3.146582285563151,3.0,60,32.418060302734375
hat,crop_09,3454,1776,512,512,18.302828470865887,9.0,123,74.87716674804688
hat,crop_10,1033,351,512,512,2.562321980794271,2.0,74,17.803192138671875
