variant,method,pair,Spearman_rho,p_value,N
PSNR_and_SSIM_negated,SwinSR,D_WACV vs NIQE,0.3113306078601056,0.002384467556324384,93
PSNR_and_SSIM_negated,SwinSR,D_WACV vs LR_content,-0.4547760436871474,4.6604276106811994e-06,93
PSNR_and_SSIM_negated,SwinSR,D_WACV vs PSNR_neg,-0.6324938080033421,1.0416221605719936e-11,93
PSNR_and_SSIM_negated,SwinSR,D_WACV vs SSIM_neg,-0.6851183193578227,3.611764891225633e-14,93
PSNR_and_SSIM_negated,SwinSR,D_WACV vs LPIPS,-0.5093551371191548,1.8478769140358562e-07,93
PSNR_and_SSIM_negated,SwinSR,D_WACV vs DISTS,-0.3085553997194951,0.0026198581049413747,93
PSNR_and_SSIM_negated,HAT,D_WACV vs NIQE,0.2831607531855211,0.005954067961976154,93
PSNR_and_SSIM_negated,HAT,D_WACV vs LR_content,-0.5019844230252752,2.954253367202614e-07,93
PSNR_and_SSIM_negated,HAT,D_WACV vs PSNR_neg,-0.6353137775655755,7.90255735360684e-12,93
PSNR_and_SSIM_negated,HAT,D_WACV vs SSIM_neg,-0.6671093073916027,2.85414360106031e-13,93
PSNR_and_SSIM_negated,HAT,D_WACV vs LPIPS,-0.5480439258750858,1.3006097335588186e-08,93
PSNR_and_SSIM_negated,HAT,D_WACV vs DISTS,-0.2694935991167079,0.008994245856246542,93
PSNR_and_SSIM_negated,pooled,D_WACV vs NIQE,0.29812717668505145,3.582472793072139e-05,186
PSNR_and_SSIM_negated,pooled,D_WACV vs LR_content,-0.4799490882982344,4.160890677072635e-12,186
PSNR_and_SSIM_negated,pooled,D_WACV vs PSNR_neg,-0.6335532358302756,2.8907268331536425e-22,186
PSNR_and_SSIM_negated,pooled,D_WACV vs SSIM_neg,-0.6796609616343962,1.4807015374737773e-26,186
PSNR_and_SSIM_negated,pooled,D_WACV vs LPIPS,-0.52659576948002,1.1629081136727341e-14,186
PSNR_and_SSIM_negated,pooled,D_WACV vs DISTS,-0.2846439677559222,8.229271567162751e-05,186
