method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS
HAT,Canon_10,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_10_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_10_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_1.png,2810.975830078125,9.75024611653204,0.04692765697836876,26.485064967724643,0.8185641765594482,0.2347869873046875,0.2580640912055969
HAT,Canon_14,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_14_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2822.05810546875,13.324327862506335,0.027803342789411545,34.188612090093706,0.930874248345693,0.13788245618343353,0.1895766258239746
HAT,Canon_40,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_40_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2811.315185546875,6.8744168060565265,0.03688407689332962,23.017323253823463,0.7112390001614889,0.2904415726661682,0.23870152235031128
HAT,Canon_42,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_42_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_42_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_4.png,2819.505615234375,11.345168116280401,0.028472857549786568,32.53789775636258,0.9195919434229533,0.1867189109325409,0.24969875812530518
HAT,Canon_56,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_56_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_56_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_5.png,2818.647216796875,16.040056647750013,0.011278053745627403,40.810684735991,0.9615029295285543,0.07333847135305405,0.20690089464187622
HAT,DSC_0988,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_0988_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_0988_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_6.png,2832.574951171875,11.673989223713365,0.028446177020668983,37.217853006993636,0.9545319875081381,0.0801209807395935,0.1580737829208374
HAT,DSC_1045,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1045_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1045_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_7.png,2809.27392578125,13.85328225674349,0.02288672886788845,26.76125654828911,0.8531956275304159,0.18613861501216888,0.17688608169555664
HAT,DSC_1057,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1057_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1057_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_8.png,2821.4208984375,11.084887963799865,0.019487300887703896,32.09747216206752,0.8817168275515238,0.14614346623420715,0.24203544855117798
HAT,DSC_1137,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1137_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1137_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_9.png,2803.22705078125,9.362403031412956,0.04217615723609924,24.246677385501748,0.7399385372797648,0.29906827211380005,0.24997973442077637
HAT,DSC_1233,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1233_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1233_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_10.png,2809.000732421875,9.355520728192083,0.040051911026239395,23.955726280046015,0.8349354863166809,0.28851380944252014,0.22229927778244019
