method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS,PSNR_original,SSIM_original,PSNR_neg,SSIM_neg
HAT,Canon_10,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_10_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_10_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_1.png,2810.975830078125,9.75024611653204,0.0469276569783687,-26.485064967724643,-0.8185641765594482,0.2347869873046875,0.2580640912055969,26.485064967724643,0.8185641765594482,-26.485064967724643,-0.8185641765594482
HAT,Canon_14,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_14_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_14_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_2.png,2822.05810546875,13.324327862506337,0.0278033427894115,-34.188612090093706,-0.930874248345693,0.1378824561834335,0.1895766258239746,34.188612090093706,0.930874248345693,-34.188612090093706,-0.930874248345693
HAT,Canon_40,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_40_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_40_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_3.png,2811.315185546875,6.874416806056527,0.0368840768933296,-23.017323253823463,-0.7112390001614889,0.2904415726661682,0.2387015223503112,23.017323253823463,0.7112390001614889,-23.017323253823463,-0.7112390001614889
HAT,Canon_42,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_42_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_42_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_4.png,2819.505615234375,11.3451681162804,0.0284728575497865,-32.53789775636258,-0.9195919434229533,0.1867189109325409,0.2496987581253051,32.53789775636258,0.9195919434229533,-32.53789775636258,-0.9195919434229533
HAT,Canon_56,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_56_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_56_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_5.png,2818.647216796875,16.040056647750013,0.0112780537456274,-40.810684735991,-0.9615029295285544,0.073338471353054,0.2069008946418762,40.810684735991,0.9615029295285544,-40.810684735991,-0.9615029295285544
HAT,DSC_0988,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_0988_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_0988_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_6.png,2832.574951171875,11.673989223713363,0.0284461770206689,-37.21785300699364,-0.954531987508138,0.0801209807395935,0.1580737829208374,37.21785300699364,0.954531987508138,-37.21785300699364,-0.954531987508138
HAT,DSC_1045,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1045_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1045_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_7.png,2809.27392578125,13.85328225674349,0.0228867288678884,-26.76125654828911,-0.8531956275304159,0.1861386150121688,0.1768860816955566,26.76125654828911,0.8531956275304159,-26.76125654828911,-0.8531956275304159
HAT,DSC_1057,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1057_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1057_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_8.png,2821.4208984375,11.084887963799863,0.0194873008877038,-32.09747216206752,-0.8817168275515238,0.1461434662342071,0.2420354485511779,32.09747216206752,0.8817168275515238,-32.09747216206752,-0.8817168275515238
HAT,DSC_1137,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1137_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1137_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_9.png,2803.22705078125,9.362403031412956,0.0421761572360992,-24.246677385501748,-0.7399385372797648,0.2990682721138,0.2499797344207763,24.246677385501748,0.7399385372797648,-24.246677385501748,-0.7399385372797648
HAT,DSC_1233,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1233_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1233_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_10.png,2809.000732421875,9.355520728192085,0.0400519110262393,-23.95572628004601,-0.8349354863166809,0.2885138094425201,0.2222992777824401,23.95572628004601,0.8349354863166809,-23.95572628004601,-0.8349354863166809
