index,name,source_path,severity,kernel,sigma,D_WACV,saved_image
1,0751.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0751.png,0,0,0.0,2804.81640625,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_0/0001_0751_sev0_k0_sigma0.png
1,0751.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0751.png,1,5,1.0,2805.12060546875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_1/0001_0751_sev1_k5_sigma1.png
1,0751.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0751.png,2,9,2.0,2809.202392578125,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_2/0001_0751_sev2_k9_sigma2.png
1,0751.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0751.png,3,15,4.0,2814.862060546875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_3/0001_0751_sev3_k15_sigma4.png
1,0751.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0751.png,4,21,8.0,2815.7685546875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_4/0001_0751_sev4_k21_sigma8.png
2,0752.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0752.png,0,0,0.0,2802.319091796875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_0/0002_0752_sev0_k0_sigma0.png
2,0752.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0752.png,1,5,1.0,2803.98388671875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_1/0002_0752_sev1_k5_sigma1.png
2,0752.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0752.png,2,9,2.0,2808.326416015625,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_2/0002_0752_sev2_k9_sigma2.png
2,0752.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0752.png,3,15,4.0,2815.16943359375,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_3/0002_0752_sev3_k15_sigma4.png
2,0752.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0752.png,4,21,8.0,2817.404541015625,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_4/0002_0752_sev4_k21_sigma8.png
3,0753.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0753.png,0,0,0.0,2805.6279296875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_0/0003_0753_sev0_k0_sigma0.png
3,0753.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0753.png,1,5,1.0,2805.73046875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_1/0003_0753_sev1_k5_sigma1.png
3,0753.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0753.png,2,9,2.0,2812.4091796875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_2/0003_0753_sev2_k9_sigma2.png
3,0753.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0753.png,3,15,4.0,2819.723388671875,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_3/0003_0753_sev3_k15_sigma4.png
3,0753.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0753.png,4,21,8.0,2823.389892578125,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_4/0003_0753_sev4_k21_sigma8.png
4,0754.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0754.png,0,0,0.0,2806.081787109375,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_0/0004_0754_sev0_k0_sigma0.png
4,0754.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0754.png,1,5,1.0,2807.934814453125,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_1/0004_0754_sev1_k5_sigma1.png
4,0754.png,/data/projectwork/swati_mam/HR_DATA/HR-calibration/DIV2K/0754.png,2,9,2.0,2812.649658203125,/home/projectwork/student_package/task wacv/check_b_gaussian_blur_severity_images/severity_2/0004_0754_sev2_k9_sigma2.png
