name,spearman_severity_D_WACV,adjacent_correct,adjacent_total,strictly_increasing_all_levels,scores_by_severity
0751.png,0.9999999999999999,4,4,1,"[2804.81640625, 2805.12060546875, 2809.202392578125, 2814.862060546875, 2815.7685546875]"
0752.png,0.9999999999999999,4,4,1,"[2802.319091796875, 2803.98388671875, 2808.326416015625, 2815.16943359375, 2817.404541015625]"
0753.png,0.9999999999999999,4,4,1,"[2805.6279296875, 2805.73046875, 2812.4091796875, 2819.723388671875, 2823.389892578125]"
0754.png,0.9999999999999999,4,4,1,"[2806.081787109375, 2807.934814453125, 2812.649658203125, 2818.60888671875, 2820.697509765625]"
0755.png,0.8999999999999998,3,4,0,"[2810.1279296875, 2808.881103515625, 2811.9375, 2818.321044921875, 2820.10302734375]"
0756.png,0.8999999999999998,3,4,0,"[2806.823486328125, 2806.0712890625, 2810.1962890625, 2814.660888671875, 2815.671875]"
0757.png,0.9999999999999999,4,4,1,"[2798.050048828125, 2799.13916015625, 2807.6962890625, 2819.060546875, 2821.822509765625]"
0758.png,0.8999999999999998,3,4,0,"[2801.464599609375, 2796.02099609375, 2803.11962890625, 2818.62939453125, 2820.836181640625]"
0759.png,0.8999999999999998,3,4,0,"[2806.316162109375, 2805.5615234375, 2810.193115234375, 2817.599609375, 2819.873046875]"
0760.png,0.8999999999999998,3,4,0,"[2790.411376953125, 2789.256103515625, 2799.225830078125, 2816.64599609375, 2822.218017578125]"
0761.png,0.8999999999999998,3,4,0,"[2802.0341796875, 2801.1865234375, 2806.5908203125, 2815.825439453125, 2819.575439453125]"
0762.png,0.8999999999999998,3,4,0,"[2808.861572265625, 2808.53271484375, 2817.614501953125, 2825.416748046875, 2825.5849609375]"
0763.png,0.9999999999999999,4,4,1,"[2809.13232421875, 2810.392578125, 2814.96484375, 2821.967041015625, 2825.722412109375]"
0764.png,0.9999999999999999,4,4,1,"[2811.87255859375, 2813.07763671875, 2815.9794921875, 2819.322265625, 2820.413818359375]"
0765.png,0.9999999999999999,4,4,1,"[2794.729736328125, 2797.948974609375, 2804.037353515625, 2812.7529296875, 2818.88818359375]"
0766.png,0.7,3,4,0,"[2812.158935546875, 2804.074951171875, 2811.645751953125, 2823.94091796875, 2828.212158203125]"
0767.png,0.9999999999999999,4,4,1,"[2818.6767578125, 2819.701904296875, 2823.4912109375, 2827.52294921875, 2828.937744140625]"
0768.png,0.9999999999999999,4,4,1,"[2815.143798828125, 2815.697265625, 2818.3388671875, 2820.723876953125, 2821.334716796875]"
0769.png,0.8999999999999998,3,4,0,"[2803.65234375, 2795.875, 2810.279052734375, 2825.21533203125, 2831.63671875]"
0770.png,0.8999999999999998,3,4,0,"[2792.728759765625, 2790.5068359375, 2801.17236328125, 2813.669677734375, 2818.943603515625]"
0771.png,0.9999999999999999,4,4,1,"[2817.63818359375, 2818.763427734375, 2822.99365234375, 2825.79931640625, 2826.017578125]"
0772.png,0.8999999999999998,3,4,0,"[2790.37890625, 2788.151611328125, 2796.590576171875, 2812.89892578125, 2819.967041015625]"
0773.png,0.9999999999999999,4,4,1,"[2795.308837890625, 2797.64892578125, 2804.720947265625, 2814.09375, 2821.50146484375]"
0774.png,0.9999999999999999,4,4,1,"[2807.282470703125, 2810.041748046875, 2815.448974609375, 2819.843994140625, 2821.404296875]"
0775.png,0.8999999999999998,3,4,0,"[2806.368408203125, 2804.798583984375, 2811.33447265625, 2820.399658203125, 2822.4560546875]"
0776.png,0.9999999999999999,4,4,1,"[2801.196044921875, 2801.456787109375, 2808.6689453125, 2820.149658203125, 2824.868408203125]"
0777.png,0.9999999999999999,4,4,1,"[2819.734375, 2820.568115234375, 2823.302490234375, 2826.893798828125, 2827.6181640625]"
0778.png,0.8999999999999998,3,4,0,"[2802.044189453125, 2801.964599609375, 2809.330078125, 2819.547119140625, 2821.534912109375]"
0779.png,0.8999999999999998,3,4,0,"[2793.509765625, 2789.8271484375, 2797.163818359375, 2812.46435546875, 2819.761474609375]"
0780.png,0.9999999999999999,4,4,1,"[2796.9296875, 2798.9091796875, 2807.2353515625, 2818.374755859375, 2823.646484375]"
0781.png,0.8999999999999998,3,4,0,"[2808.445556640625, 2808.17041015625, 2814.478759765625, 2822.522216796875, 2823.904296875]"
0782.png,0.8999999999999998,3,4,0,"[2795.739013671875, 2795.066650390625, 2798.131591796875, 2812.300048828125, 2820.183349609375]"
0783.png,0.9999999999999999,4,4,1,"[2808.1123046875, 2808.3720703125, 2811.29052734375, 2813.552490234375, 2814.26123046875]"
0784.png,0.9999999999999999,4,4,1,"[2798.692626953125, 2798.975341796875, 2805.533447265625, 2815.748291015625, 2818.41796875]"
0785.png,0.8999999999999998,3,4,0,"[2797.657470703125, 2794.494873046875, 2802.322509765625, 2818.693115234375, 2825.224853515625]"
0786.png,0.7,3,4,0,"[2801.869873046875, 2792.3994140625, 2797.5703125, 2814.21044921875, 2817.747314453125]"
0787.png,0.8999999999999998,3,4,0,"[2799.9990234375, 2796.70166015625, 2801.985107421875, 2811.548828125, 2816.979736328125]"
0788.png,0.8999999999999998,3,4,0,"[2801.709228515625, 2799.361572265625, 2804.359375, 2818.2333984375, 2821.13818359375]"
0789.png,0.8999999999999998,3,4,0,"[2803.10205078125, 2803.078369140625, 2809.168212890625, 2818.0302734375, 2820.591796875]"
0790.png,0.9999999999999999,4,4,1,"[2821.972900390625, 2823.310302734375, 2825.7705078125, 2829.302978515625, 2829.79150390625]"
0791.png,0.9999999999999999,4,4,1,"[2807.570556640625, 2807.968017578125, 2811.143798828125, 2815.47216796875, 2817.021728515625]"
0792.png,0.8999999999999998,3,4,0,"[2817.33251953125, 2816.4189453125, 2818.87158203125, 2824.35498046875, 2826.2578125]"
0793.png,0.8999999999999998,3,4,0,"[2798.61328125, 2796.621826171875, 2803.829833984375, 2815.507080078125, 2820.119140625]"
0794.png,0.8999999999999998,3,4,0,"[2796.216552734375, 2794.9052734375, 2799.151611328125, 2810.829345703125, 2815.819091796875]"
0795.png,0.9999999999999999,4,4,1,"[2802.456298828125, 2804.805419921875, 2811.89453125, 2820.660888671875, 2822.623779296875]"
0796.png,0.9999999999999999,4,4,1,"[2799.40576171875, 2800.0537109375, 2806.75634765625, 2818.818359375, 2824.04541015625]"
0797.png,0.8999999999999998,3,4,0,"[2804.303466796875, 2803.595458984375, 2808.3447265625, 2812.060791015625, 2812.3857421875]"
0798.png,0.8999999999999998,3,4,0,"[2800.203857421875, 2797.9375, 2801.91162109375, 2813.993408203125, 2820.849609375]"
0799.png,0.9999999999999999,4,4,1,"[2806.902099609375, 2808.353759765625, 2812.59619140625, 2819.024658203125, 2822.686279296875]"
0800.png,0.9999999999999999,4,4,1,"[2797.060546875, 2799.27734375, 2811.111328125, 2822.933837890625, 2825.6318359375]"
