variant,lr_content_group,pair,rho,p_value,N,lr_content_min,lr_content_max
crop,low,D_WACV vs PSNR,0.6767646244113722,1.5574304509587263e-09,62,0.011278053745627403,0.025449203327298164
crop,low,D_WACV vs SSIM,0.7230490292362318,3.2116019413619914e-11,62,0.011278053745627403,0.025449203327298164
crop,low,D_WACV vs LPIPS,-0.5749288610208758,1.02307274217937e-06,62,0.011278053745627403,0.025449203327298164
crop,low,D_WACV vs DISTS,-0.33570043564755353,0.007643995066100805,62,0.011278053745627403,0.025449203327298164
crop,middle,D_WACV vs PSNR,0.4042960388809146,0.0011181164371806486,62,0.025521893054246902,0.03650776296854019
crop,middle,D_WACV vs SSIM,0.5005414116995291,3.4284738762682484e-05,62,0.025521893054246902,0.03650776296854019
crop,middle,D_WACV vs LPIPS,-0.4819571403389489,7.300535463783502e-05,62,0.025521893054246902,0.03650776296854019
crop,middle,D_WACV vs DISTS,-0.19523557704414393,0.1283410845484763,62,0.025521893054246902,0.03650776296854019
crop,high,D_WACV vs PSNR,0.5374581350255596,6.660420521915748e-06,62,0.03673601523041725,0.09765183180570602
crop,high,D_WACV vs SSIM,0.5891314749061972,4.7249307215217857e-07,62,0.03673601523041725,0.09765183180570602
crop,high,D_WACV vs LPIPS,-0.33121805041424296,0.00854815466736915,62,0.03673601523041725,0.09765183180570602
crop,high,D_WACV vs DISTS,-0.31273450681171466,0.013331868726085494,62,0.03673601523041725,0.09765183180570602
full,low,D_WACV vs PSNR,0.18294679056180907,0.1546631699099604,62,0.011278053745627403,0.025449203327298164
full,low,D_WACV vs SSIM,0.29742388758782207,0.018891909767781975,62,0.011278053745627403,0.025449203327298164
full,low,D_WACV vs LPIPS,nan,nan,0,0.011278053745627403,0.025449203327298164
full,low,D_WACV vs DISTS,nan,nan,0,0.011278053745627403,0.025449203327298164
full,middle,D_WACV vs PSNR,0.16949963486187705,0.18782754048950528,62,0.025521893054246902,0.03650776296854019
full,middle,D_WACV vs SSIM,0.4096849739366926,0.0009442121767603894,62,0.025521893054246902,0.03650776296854019
full,middle,D_WACV vs LPIPS,nan,nan,0,0.025521893054246902,0.03650776296854019
full,middle,D_WACV vs DISTS,nan,nan,0,0.025521893054246902,0.03650776296854019
full,high,D_WACV vs PSNR,0.33559970788950166,0.007663357207802477,62,0.03673601523041725,0.09765183180570602
full,high,D_WACV vs SSIM,0.3146986980937272,0.01273268059201877,62,0.03673601523041725,0.09765183180570602
full,high,D_WACV vs LPIPS,nan,nan,0,0.03673601523041725,0.09765183180570602
full,high,D_WACV vs DISTS,nan,nan,0,0.03673601523041725,0.09765183180570602
