variant,method,pair,rho,p_value,N,rho_ci95_low,rho_ci95_high
crop,SwinSR,D_WACV vs NIQE,0.3113306078601056,0.0023844675563243823,93,0.1072681667672916,0.4973548999765487
crop,SwinSR,D_WACV vs LR_content,-0.4547760436871474,4.660427610681196e-06,93,-0.6187327885368857,-0.26083924231129263
crop,SwinSR,D_WACV vs PSNR,0.6324938080033421,1.0416221605719965e-11,93,0.4701621598147256,0.7513448743478447
crop,SwinSR,D_WACV vs SSIM,0.6851183193578227,3.611764891225638e-14,93,0.5501807735266027,0.7847837763120754
crop,SwinSR,D_WACV vs LPIPS,-0.5093551371191548,1.8478769140358596e-07,93,-0.6581792687486379,-0.3340450104796192
crop,SwinSR,D_WACV vs DISTS,-0.3085553997194951,0.0026198581049413716,93,-0.49473348040829795,-0.08105394839083198
crop,HAT,D_WACV vs NIQE,0.2831607531855211,0.0059540679619761545,93,0.07027651619114916,0.46191447006130815
crop,HAT,D_WACV vs LR_content,-0.5019844230252752,2.9542533672026125e-07,93,-0.6375895265060392,-0.31431524917271364
crop,HAT,D_WACV vs PSNR,0.6353137775655755,7.902557353606851e-12,93,0.4604786904330431,0.760974042903545
crop,HAT,D_WACV vs SSIM,0.6671093073916027,2.854143601060312e-13,93,0.5283394360181244,0.7712738798842733
crop,HAT,D_WACV vs LPIPS,-0.5480439258750858,1.3006097335588093e-08,93,-0.6905149092561761,-0.3881184688211434
crop,HAT,D_WACV vs DISTS,-0.2694935991167079,0.008994245856246539,93,-0.4509461840547038,-0.0534787984755969
full,SwinSR,D_WACV vs NIQE,0.33077198531825364,0.0012021311911334669,93,0.15181324274827296,0.49344561418288224
full,SwinSR,D_WACV vs LR_content,-0.4547760436871474,4.660427610681196e-06,93,-0.6187327885368857,-0.26083924231129263
full,SwinSR,D_WACV vs PSNR,0.41068604338873793,4.3348335223193306e-05,93,0.20688662893224508,0.5766656273050838
full,SwinSR,D_WACV vs SSIM,0.49161469368267124,5.612484716173416e-07,93,0.2991014034371638,0.6472378550634431
full,SwinSR,D_WACV vs LPIPS,nan,nan,0,nan,nan
full,SwinSR,D_WACV vs DISTS,nan,nan,0,nan,nan
full,HAT,D_WACV vs NIQE,0.3238787263883501,0.0015404450315924046,93,0.14956239204293523,0.4909686017062645
full,HAT,D_WACV vs LR_content,-0.5019844230252752,2.9542533672026125e-07,93,-0.6375895265060392,-0.31431524917271364
full,HAT,D_WACV vs PSNR,0.4708752349974635,1.9046440624488882e-06,93,0.28392981272374684,0.6168137841809581
full,HAT,D_WACV vs SSIM,0.5245590999970158,6.773924227970154e-08,93,0.34791010302672404,0.6602001379296198
full,HAT,D_WACV vs LPIPS,nan,nan,0,nan,nan
full,HAT,D_WACV vs DISTS,nan,nan,0,nan,nan
