dataset,image_id,ref_id,distorted_path,ref_path,distortion_type,distortion_code,severity_or_level,mos_or_dmos,split,distorted_path_original,group_B,EA_tsne_x,EA_tsne_y,EH_tsne_x,EH_tsne_y
KADID-10k,I26_01_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,,1.0,4.74,val,/data/projectwork/swati_mam/kadid10k/images/I26_01_01.png,blur,25.965551,-29.531816,-7.9363594,-36.13766
KADID-10k,I26_01_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,,2.0,4.43,val,/data/projectwork/swati_mam/kadid10k/images/I26_01_02.png,blur,-5.1498966,-17.762173,-6.7106404,-38.166313
KADID-10k,I26_01_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,,3.0,2.83,val,/data/projectwork/swati_mam/kadid10k/images/I26_01_03.png,blur,-16.862831,-5.5689964,-7.0598984,-38.48782
KADID-10k,I26_01_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,,4.0,1.8,val,/data/projectwork/swati_mam/kadid10k/images/I26_01_04.png,blur,-40.443344,8.894127,-8.400393,-26.847715
KADID-10k,I26_01_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Gaussian blur,,5.0,1.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_01_05.png,blur,-57.208958,2.35052,-28.35555,1.3475606
KADID-10k,I26_02_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Lens blur,,1.0,4.1,val,/data/projectwork/swati_mam/kadid10k/images/I26_02_01.png,blur,-4.9636903,-14.265822,-6.431085,-38.768173
KADID-10k,I26_02_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Lens blur,,2.0,2.67,val,/data/projectwork/swati_mam/kadid10k/images/I26_02_02.png,blur,-19.296545,-4.451546,-7.361805,-38.171444
KADID-10k,I26_02_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Lens blur,,3.0,2.0,val,/data/projectwork/swati_mam/kadid10k/images/I26_02_03.png,blur,-40.879345,8.811245,-8.054461,-25.825844
KADID-10k,I26_02_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Lens blur,,4.0,1.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_02_04.png,blur,-54.454967,3.8809376,-14.431799,-0.28521866
KADID-10k,I26_02_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Lens blur,,5.0,1.27,val,/data/projectwork/swati_mam/kadid10k/images/I26_02_05.png,blur,-56.358986,2.7931406,-26.786098,1.3517929
KADID-10k,I26_03_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Motion blur,,1.0,4.67,val,/data/projectwork/swati_mam/kadid10k/images/I26_03_01.png,blur,26.253206,-29.499222,-7.936018,-36.1374
KADID-10k,I26_03_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Motion blur,,2.0,4.33,val,/data/projectwork/swati_mam/kadid10k/images/I26_03_02.png,blur,-5.0262427,-16.84349,-6.5525393,-38.616714
KADID-10k,I26_03_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Motion blur,,3.0,3.0,val,/data/projectwork/swati_mam/kadid10k/images/I26_03_03.png,blur,-16.441282,-6.653616,-6.62429,-36.35207
KADID-10k,I26_03_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Motion blur,,4.0,2.37,val,/data/projectwork/swati_mam/kadid10k/images/I26_03_04.png,blur,-19.69736,-4.5485005,-7.8508983,-33.28558
KADID-10k,I26_03_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Motion blur,,5.0,1.87,val,/data/projectwork/swati_mam/kadid10k/images/I26_03_05.png,blur,-32.570812,-1.2618343,-10.789109,-35.07622
KADID-10k,I26_04_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,,1.0,4.8,val,/data/projectwork/swati_mam/kadid10k/images/I26_04_01.png,other,26.175488,-30.611446,-7.954327,-37.504898
KADID-10k,I26_04_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,,2.0,3.29,val,/data/projectwork/swati_mam/kadid10k/images/I26_04_02.png,other,36.49125,-9.814301,-9.530831,-25.456032
